CA-512,Daly/San Mateo County CoC,"1,567",173,591,764,803,"1,151",112,311,423,728,416,61,280,341,75,120,18,82,100,20,472,46,46,426
CA-513,"Visalia/Kings, Tulare Counties CoC",966,81,129,210,756,572,36,81,117,455,394,45,48,93,301,114,21,11,32,82,128,19,19,109
CA-514,Fresno City & County/Madera County CoC,"4,345","1,061",827,"1,888","2,457","3,347",748,334,"1,082","2,265",998,313,493,806,192,320,83,160,243,77,901,267,267,634
CA-515,"Roseville, Rocklin/Placer County CoC","1,054",189,383,572,482,700,132,175,307,393,354,57,208,265,89,118,21,70,91,27,231,62,62,169
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",340,124,70,194,146,205,73,17,90,115,135,51,53,104,31,42,17,14,31,11,55,11,11,44
CA-517,Napa City & County CoC,314,121,65,186,128,261,81,52,133,128,53,40,13,53,0,16,11,5,16,0,132,61,61,71
CA-518,Vallejo/Solano County CoC,829,198,205,403,426,468,73,124,197,271,361,125,81,206,155,147,51,36,87,60,105,48,48,57
CA-519,"Chico, Paradise/Butte County CoC",689,124,179,303,386,558,102,89,191,367,131,22,90,112,19,38,9,24,33,5,190,40,40,150
CA-520,Merced City & County CoC,372,83,65,148,224,344,58,62,120,224,28,25,3,28,0,10,9,1,10,0,51,21,21,30
CA-521,"Davis, Woodland/Yolo County CoC",491,82,120,202,289,365,63,29,92,273,126,19,91,110,16,41,7,27,34,7,150,27,27,123
CA-522,Humboldt County CoC,"1,355",224,131,355,"1,000",889,153,57,210,679,466,71,74,145,321,138,26,26,52,86,427,40,40,387
CA-523,"Colusa, Glenn, Trinity Counties CoC",197,29,45,74,123,145,19,18,37,108,52,10,27,37,15,18,4,9,13,5,40,0,0,40
CA-524,Yuba City & County/Sutter County CoC,411,65,238,303,108,169,43,34,77,92,242,22,204,226,16,75,9,60,69,6,78,24,24,54
CA-525,El Dorado County CoC,146,14,49,63,83,98,1,22,23,75,48,13,27,40,8,15,4,8,12,3,15,0,0,15
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",372,105,45,150,222,175,30,0,30,145,197,75,45,120,77,64,27,15,42,22,89,14,14,75
CA-600,Los Angeles City & County CoC,"33,243","5,793","8,257","14,050","19,193","28,358","4,513","5,663","10,176","18,182","4,885","1,280","2,594","3,874","1,011","1,840",432,933,"1,365",475,"7,661","2,414","2,414","5,247"
CA-601,San Diego City and County CoC,"7,995",959,"3,022","3,981","4,014","6,294",683,"1,706","2,389","3,905","1,701",276,"1,316","1,592",109,554,94,424,518,36,"1,275",354,354,921
CA-602,"Santa Ana, Anaheim/Orange County CoC","8,333",962,"1,647","2,609","5,724","6,956",774,539,"1,313","5,643","1,377",188,"1,108","1,296",81,481,70,384,454,27,"3,783",205,205,"3,578"
CA-603,Santa Maria/Santa Barbara County CoC,"4,121",401,747,"1,148","2,973","3,333",301,445,746,"2,587",788,100,302,402,386,262,36,99,135,127,483,236,236,247
CA-604,Bakersfield/Kern County CoC,"1,499",380,287,667,832,"1,251",204,260,464,787,248,176,27,203,45,78,53,7,60,18,258,39,39,219
CA-606,Long Beach CoC,"3,909",542,"1,612","2,154","1,755","3,200",412,"1,248","1,660","1,540",709,130,364,494,215,224,43,113,156,68,789,115,115,674
CA-607,Pasadena CoC,"1,144",164,239,403,741,918,97,153,250,668,226,67,86,153,73,93,32,32,64,29,281,27,27,254
CA-608,Riverside City & County CoC,"3,366",618,705,"1,323","2,043","2,282",413,524,937,"1,345","1,084",205,181,386,698,265,57,85,142,123,969,274,274,695
CA-609,San Bernardino City & County CoC,"2,026",315,453,768,"1,258","1,397",126,181,307,"1,090",629,189,272,461,168,221,79,97,176,45,361,70,70,291
CA-611,"Oxnard, San Buenaventura/Ventura County CoC","2,193",145,316,461,"1,732","1,653",101,199,300,"1,353",540,44,117,161,379,179,19,42,61,118,745,74,74,671
CA-612,Glendale CoC,306,86,52,138,168,157,49,0,49,108,149,37,52,89,60,63,16,29,45,18,105,6,6,99
CA-613,Imperial County CoC,505,91,66,157,348,400,52,0,52,348,105,39,66,105,0,33,12,21,33,0,12,12,12,0
CA-614,San Luis Obispo County CoC,"3,829",173,69,242,"3,587","1,547",49,28,77,"1,470","2,282",124,41,165,"2,117",673,28,10,38,635,201,7,7,194
CO-500,Colorado Balance of State CoC,"5,267",679,408,"1,087","4,180","1,324",221,58,279,"1,045","3,943",458,350,808,"3,135",986,114,88,202,784,259,11,11,248
CO-503,Metropolitan Denver CoC,"8,752","3,794","3,259","7,053","1,699","5,081","2,490","1,163","3,653","1,428","3,671","1,304","2,096","3,400",271,"1,156",411,660,"1,071",85,839,404,404,435
CO-504,Colorado Springs/El Paso County CoC,"1,249",422,469,891,358,996,372,272,644,352,253,50,197,247,6,82,16,64,80,2,188,95,95,93
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",825,434,286,720,105,545,320,129,449,96,280,114,157,271,9,96,35,57,92,4,180,134,134,46
CT-505,Connecticut Balance of State CoC,"3,780","2,108","1,275","3,383",397,"2,228","1,293",546,"1,839",389,"1,552",815,729,"1,544",8,528,282,243,525,3,644,506,506,138
DC-500,District of Columbia CoC,"6,228","3,315","2,592","5,907",321,"3,934","2,632",981,"3,613",321,"2,294",683,"1,611","2,294",0,703,203,500,703,0,"1,923","1,632","1,632",291
DE-500,Delaware Statewide CoC,"1,130",583,500,"1,083",47,776,396,333,729,47,354,187,167,354,0,117,59,58,117,0,167,150,150,17
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC","1,999",181,167,348,"1,651","1,201",97,96,193,"1,008",798,84,71,155,643,231,26,29,55,176,125,27,27,98
FL-501,Tampa/Hillsborough County CoC,"7,473",321,405,726,"6,747","4,107",236,262,498,"3,609","3,366",85,143,228,"3,138","1,201",30,50,80,"1,121",598,210,210,388
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC","3,419",871,820,"1,691","1,728","2,843",712,540,"1,252","1,591",576,159,280,439,137,226,69,100,169,57,631,186,186,445
FL-503,"Lakeland, Winterhaven/Polk County CoC",725,189,177,366,359,606,153,125,278,328,119,36,52,88,31,35,10,16,26,9,186,75,75,111
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC","1,913",45,548,593,"1,320","1,507",38,149,187,"1,320",406,7,399,406,0,95,2,93,95,0,157,0,0,157
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC","2,446",229,80,309,"2,137","1,515",182,40,222,"1,293",931,47,40,87,844,368,15,16,31,337,297,61,61,236
FL-506,Tallahassee/Leon County CoC,640,276,260,536,104,475,219,179,398,77,165,57,81,138,27,48,15,25,40,8,150,100,100,50
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC","3,970","1,256","1,198","2,454","1,516","2,246",704,608,"1,312",934,"1,724",552,590,"1,142",582,574,184,196,380,194,"1,537",603,603,934
FL-508,"Gainesville/Alachua, Putnam Counties CoC",924,133,168,301,623,750,71,105,176,574,174,62,63,125,49,63,24,24,48,15,240,8,8,232
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","1,950",209,80,289,"1,661","1,041",138,0,138,903,909,71,80,151,758,305,25,29,54,251,162,60,60,102
FL-510,"Jacksonville-Duval, Clay Counties CoC","2,442",837,"1,182","2,019",423,"1,902",628,858,"1,486",416,540,209,324,533,7,150,50,98,148,2,756,526,526,230
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC","1,030",102,310,412,618,685,69,189,258,427,345,33,121,154,191,148,11,30,41,107,221,98,98,123
FL-512,St. Johns County CoC,"1,237",60,46,106,"1,131","1,099",32,4,36,"1,063",138,28,42,70,68,50,14,19,33,17,56,0,0,56
FL-513,"Palm Bay, Melbourne/Brevard County CoC","1,221",24,978,"1,002",219,881,16,655,671,210,340,8,323,331,9,109,2,104,106,3,112,81,81,31
FL-514,Ocala/Marion County CoC,491,173,124,297,194,318,140,80,220,98,173,33,44,77,96,47,9,14,23,24,117,117,117,0
FL-515,"Panama City/Bay, Jackson Counties CoC",287,113,136,249,38,225,83,104,187,38,62,30,32,62,0,20,9,11,20,0,33,16,16,17
FL-517,"Hendry, Hardee, Highlands Counties CoC","4,220",16,85,101,"4,119",812,16,47,63,749,"3,408",0,38,38,"3,370","1,619",2,12,14,"1,605",329,12,12,317
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC","1,114",114,51,165,949,724,42,43,85,639,390,72,8,80,310,159,32,3,35,124,298,76,76,222
FL-519,Pasco County CoC,"4,527","1,674",0,"1,674","2,853","1,312",549,0,549,763,"3,215","1,125",0,"1,125","2,090","1,286",450,0,450,836,995,378,378,617
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC","1,025",82,154,236,789,571,57,135,192,379,454,25,19,44,410,132,7,8,15,117,28,19,19,9
FL-600,Miami-Dade County CoC,"4,333","1,597","1,742","3,339",994,"3,023","1,052",977,"2,029",994,"1,310",545,765,"1,310",0,338,144,194,338,0,600,354,354,246
FL-601,Ft Lauderdale/Broward County CoC,"3,225",884,"1,541","2,425",800,"2,575",658,"1,181","1,839",736,650,226,360,586,64,206,61,128,189,17,377,171,171,206
FL-602,Punta Gorda/Charlotte County CoC,541,77,317,394,147,437,43,252,295,142,104,34,65,99,5,54,15,37,52,2,163,53,53,110
FL-603,"Ft Myers, Cape Coral/Lee County CoC",931,205,310,515,416,824,163,281,444,380,107,42,29,71,36,38,12,11,23,15,177,16,16,161
FL-604,Monroe County CoC,"1,040",186,138,324,716,838,136,90,226,612,202,50,48,98,104,81,15,14,29,52,289,164,164,125
FL-605,West Palm Beach/Palm Beach County CoC,"2,147",445,295,740,"1,407","1,682",209,224,433,"1,249",465,236,71,307,158,138,69,20,89,49,417,79,79,338
FL-606,Naples/Collier County CoC,329,192,64,256,73,233,136,24,160,73,96,56,40,96,0,30,18,12,30,0,11,3,3,8
GA-500,Atlanta CoC,"7,019","2,357","2,498","4,855","2,164","5,781","1,998","1,715","3,713","2,068","1,238",359,783,"1,142",96,492,126,333,459,33,"1,649",947,947,702
GA-501,Georgia Balance of State CoC,"9,941","1,100","1,034","2,134","7,807","6,379",494,209,703,"5,676","3,562",606,825,"1,431","2,131","1,086",197,243,440,646,"1,306",201,201,"1,105"
GA-503,Athens-Clarke County CoC,454,136,112,248,206,324,88,58,146,178,130,48,54,102,28,42,13,18,31,11,121,36,36,85
GA-504,Augusta-Richmond County CoC,556,236,276,512,44,405,193,191,384,21,151,43,85,128,23,51,10,24,34,17,142,142,142,0
GA-505,Columbus-Muscogee CoC,458,204,50,254,204,340,142,50,192,148,118,62,0,62,56,36,19,0,19,17,129,44,44,85
GA-506,Marietta/Cobb County CoC,480,148,206,354,126,267,80,64,144,123,213,68,142,210,3,75,22,52,74,1,135,38,38,97
GA-507,Savannah/Chatham County CoC,"1,452",638,424,"1,062",390,869,296,187,483,386,583,342,237,579,4,113,58,54,112,1,289,212,212,77
GU-500,Guam CoC,"1,088",67,115,182,906,391,24,28,52,339,697,43,87,130,567,168,13,19,32,136,87,19,19,68
HI-500,Hawaii Balance of State CoC,"2,144",258,565,823,"1,321","1,129",73,164,237,892,"1,015",185,401,586,429,300,62,112,174,126,286,28,28,258
HI-501,Honolulu City and County CoC,"3,638",792,"1,653","2,445","1,193","1,812",406,366,772,"1,040","1,826",386,"1,287","1,673",153,484,114,333,447,37,486,96,96,390
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",289,129,130,259,30,146,107,22,129,17,143,22,108,130,13,46,8,33,41,5,74,59,59,15
IA-501,Iowa Balance of State CoC,"1,962",707,"1,184","1,891",71,771,425,286,711,60,"1,191",282,898,"1,180",11,373,90,281,371,2,112,93,93,19
IA-502,Des Moines/Polk County CoC,"1,129",344,727,"1,071",58,738,239,445,684,54,391,105,282,387,4,113,30,81,111,2,120,86,86,34
ID-500,Boise/Ada County CoC,786,372,272,644,142,586,298,168,466,120,200,74,104,178,22,68,24,34,58,10,111,97,97,14
ID-501,Idaho Balance of State CoC,"1,153",259,574,833,320,531,134,221,355,176,622,125,353,478,144,212,42,120,162,50,99,60,60,39
IL-500,McHenry County CoC,257,125,122,247,10,153,75,68,143,10,104,50,54,104,0,33,17,16,33,0,45,39,39,6
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",567,229,202,431,136,390,176,108,284,106,177,53,94,147,30,46,12,28,40,6,200,161,161,39
IL-502,"Waukegan, North Chicago/Lake County CoC",370,177,191,368,2,202,100,100,200,2,168,77,91,168,0,65,29,36,65,0,33,33,33,0
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",534,404,126,530,4,209,128,77,205,4,325,276,49,325,0,124,111,13,124,0,47,47,47,0
IL-504,Madison County CoC,202,82,79,161,41,62,28,3,31,31,140,54,76,130,10,42,16,23,39,3,9,0,0,9
IL-506,"Joliet, Bolingbrook/Will County CoC",340,135,196,331,9,180,114,57,171,9,160,21,139,160,0,54,8,46,54,0,80,76,76,4
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",397,191,139,330,67,276,130,79,209,67,121,61,60,121,0,42,20,22,42,0,133,127,127,6
